index,ds,227645,230054,247467,265812,269255,283639
400,2011-02-08 00:00:00,1536,1278,1280,1120,1408,430
401,2011-02-09 00:00:00,1024,1774,1280,1376,1216,1076
402,2011-02-10 00:00:00,1024,1280,1792,1567,768,789
403,2011-02-11 00:00:00,1024,2614,2816,960,1920,484
404,2011-02-12 00:00:00,768,2072,0,640,256,437
405,2011-02-13 00:00:00,0,0,0,0,0,0
406,2011-02-14 00:00:00,1024,1496,2560,1568,1216,1037
407,2011-02-15 00:00:00,1504,1428,2048,1184,1024,438
408,2011-02-16 00:00:00,1280,1504,2266,1312,1024,692
409,2011-02-17 00:00:00,1024,1446,1536,928,1472,533
410,2011-02-18 00:00:00,1024,3268,2304,1248,768,685
411,2011-02-19 00:00:00,256,1300,256,1280,0,960
412,2011-02-20 00:00:00,0,0,0,0,0,0
413,2011-02-21 00:00:00,1024,288,2560,1392,960,429
414,2011-02-22 00:00:00,1792,1344,2560,1024,960,438
415,2011-02-23 00:00:00,1024,2338,2304,800,1024,781
416,2011-02-24 00:00:00,1280,4246,1792,416,1024,520
417,2011-02-25 00:00:00,2048,3424,2688,1216,640,1088
418,2011-02-26 00:00:00,256,3794,256,992,384,749
419,2011-02-27 00:00:00,0,0,0,0,0,0
420,2011-02-28 00:00:00,768,4581,3200,1472,1216,1094
421,2011-03-01 00:00:00,0,1102,512,640,0,0
422,2011-03-02 00:00:00,1024,1376,2816,1408,1024,1335
423,2011-03-03 00:00:00,1248,2674,1536,1088,1024,429
424,2011-03-04 00:00:00,768,2510,3072,1584,1024,1233
425,2011-03-05 00:00:00,0,1918,768,1088,0,740
426,2011-03-06 00:00:00,0,0,0,0,0,0
427,2011-03-07 00:00:00,1536,2820,3264,1408,768,783
428,2011-03-08 00:00:00,1500,2208,2304,1248,768,971
429,2011-03-09 00:00:00,1536,4462,2996,1728,768,430
430,2011-03-10 00:00:00,1184,2330,2048,1248,1280,851
431,2011-03-11 00:00:00,1280,2886,3232,1216,1280,1781
432,2011-03-12 00:00:00,0,1714,256,1472,704,954
433,2011-03-13 00:00:00,0,0,0,0,0,0
434,2011-03-14 00:00:00,1504,1068,2560,1312,1280,914
435,2011-03-15 00:00:00,768,4064,2304,1216,1024,531
436,2011-03-16 00:00:00,1024,2938,2048,1376,1024,798
437,2011-03-17 00:00:00,960,2170,1536,1152,768,993
438,2011-03-18 00:00:00,960,6498,2048,1280,512,1225
439,2011-03-19 00:00:00,256,2854,768,1268,0,928
440,2011-03-20 00:00:00,0,0,0,0,0,0
441,2011-03-21 00:00:00,1792,1120,2304,1216,768,745
442,2011-03-22 00:00:00,2304,1984,1728,1344,768,749
443,2011-03-23 00:00:00,1184,2988,1728,768,1280,432
444,2011-03-24 00:00:00,896,2442,2240,732,704,685
445,2011-03-25 00:00:00,768,6240,1728,960,1024,1019
446,2011-03-26 00:00:00,0,3124,0,1024,512,505
447,2011-03-27 00:00:00,0,0,0,0,0,0
448,2011-03-28 00:00:00,1024,2816,3072,1024,1024,1302
449,2011-03-29 00:00:00,1216,3890,2048,1504,1205,1208
450,2011-03-30 00:00:00,1280,2452,3008,796,1440,430
451,2011-03-31 00:00:00,1216,2598,2048,608,896,1082
452,2011-04-01 00:00:00,968,3288,2048,768,768,1289
453,2011-04-02 00:00:00,256,3090,0,624,0,960
454,2011-04-03 00:00:00,0,0,0,0,0,0
455,2011-04-04 00:00:00,1280,1578,2560,960,1024,425
456,2011-04-05 00:00:00,960,2630,2048,1344,768,1744
457,2011-04-06 00:00:00,1024,3122,2304,1236,960,965
458,2011-04-07 00:00:00,1600,2276,2048,1056,1216,1264
459,2011-04-08 00:00:00,1216,3924,2304,1376,1216,576
460,2011-04-09 00:00:00,0,5950,0,1216,448,1005
461,2011-04-10 00:00:00,0,0,0,0,0,0
462,2011-04-11 00:00:00,1248,1664,2560,1344,960,430
463,2011-04-12 00:00:00,1088,4042,1792,932,1216,800
464,2011-04-13 00:00:00,1376,3330,2752,1024,1152,1216
465,2011-04-14 00:00:00,1024,2936,1792,1024,1216,736
466,2011-04-15 00:00:00,1280,3238,2752,1024,960,985
467,2011-04-16 00:00:00,0,3200,512,706,0,717
468,2011-04-17 00:00:00,0,0,0,0,0,0
469,2011-04-18 00:00:00,1280,800,2048,1216,1024,1366
470,2011-04-19 00:00:00,1280,3842,1792,1344,1280,926
